TMT	BLOCK	PLOT	TREE	SPECIES	ORIG COND	85 DIA	85 COND	90 DIA	90 COND	95 DIA	95 COND	00 DIA	00 COND	09 DIA	09 COND	20 DIA	20 COND	2020 Notes	13 COND	NOTES 2013	NOTES    edited or added 2011 EH										
1	2	B	3	DF	1	39.2	1	40.8	1	31.5	1	42.4	1	45	2	42.4	2				"00-OLD PW ON PLOT, 09- ALIVE TOP OFF"		OK								
1	2	B	4	DF	1	30.7	1	30.5	1	31	4		4		4		4				"95-shares base with live tree, 09-TOP OFF DEAD"	OK									
1	2	B	5	DF	3		3		3		3		3	 	3		3					OK									
1	2	B	6	DF	1	34.1	1	34.6	1	36.3	1	36	1	37.6	2	38.6	2					OK									
1	2	B	7	DF	1	35.4	1	36.3	1	37	1	38.2	1	39.5	2	40	2				09-RIGHT NE T TO DEAD TREE #2	OK		GPS NOTES 2009: GARMIN 60c  							
1	2	B	8	DF	1	44.7	1	47.2	1	49.4	1	51.8	1	55.6	1	59.1	1				09-FORKS AT 10M	OK		WAYPOINT 37							
1	2	B	9	DF	1	33.5	1	34.5	1	35.6	1	36.4	1	39.1	2	39.2	2					OK		"N44.536665, W123.53136"							
1	2	B	10	DF	1	52.8	1	55.8	1	58.9	1	62.2	1	57.8	1	73.7	1				0= HARVESTED- STUMP	OK		FOR PLOT 1-2B							
1	2	B	11	DF	1	34.3	1	35.8	1	37.1	1	38.1	1	39.8	2	40.6	2				"1= GREEN TREE, HEALTHY"	OK									
1	2	B	12	DF	1	36.5	1	38.4	1	39.8	1	40.8	1	42.4	1	42.9	1				2= LIVE TREE WITH SYMPTOMS	OK									
1	2	B	13	DF	1	43.5	1	47	1	50.5	1	54.1	1	61	1	69.9	1				3= PW	OK									
1	2	B	14	DF	1	18.7	1	18.5	1	18.5	4		3	 	3		3				4= DEAD NOT PW	OK									
1	2	B	15	DF	1	32.8	1	35	1	36.4	1	38.3	1	40.7	2	41.5	2				5= STANDING DEAD PROBABLE BEETLES	OK									
1	2	B	16	DF	1	25	3		3		3		3	 	3		3					OK									
1	2	B	17	DF	1	19.2	3		3		3		3	 	3		3					OK									
1	2	B	18	DF	1	35.4	1	35.6	1	36.7	1	35.8	1	35.8	4		3				09-dead standing bEeTLES?	OK									
1	2	B	19	DF	1	51.3	1	55.1	1	59.4	1	61.6	1	67.3	1	75.2	1					OK									
1	2	B	20	DF	1	54.7	1	58.9	1	63	1	68.7	1	74.8	1	81	1					OK									
1	2	B	21	DF	1	30.9	1	31.1	1	31.5	4		4		4		4				"95-crown dead, shares base w/20, 09- DEAD STANDING TOP OFF ATTACHED TO #20"	OK									
1	2	B	22	DF	1	28.3	1	28.9	1	28.9	3		3	 	3		3				"00-STANDING, 09-DIED OF PW BY 2000"										
1	2	B	23	RC	1	15.6	1	16.5	1	16.9	1	17.3	1	18	2						09- TOP DEAD	OK									
1	2	B	24	DF	1	50.6	1	54.7	1	58.3	1	60.7	1	65.4	1							OK									
1	2	C	1	DF	1	43.7	1	44.1	1	44.3	1	44.4	1	45.9	2	48.5	2				09-beatles	OK									
1	2	C	2	DF	1	60	1	62.5	1	64.4	1	69.2	1	74.2	1	82.5	1				09- some beatles	OK									
1	2	C	3	DF	1	33.4	1	34.7	1	35.6	1	36.8	1	37.2	2	41.1	2				09-some beatles	OK									
1	2	C	4	DF	1	26.6	1		4		4		4	 	4		4					OK									
1	2	C	5	DF	1	42.5	1	44.4	1	46.5	1	49.2	1	54.4	1	65.3	1					OK									
1	2	C	6	DF	1	24.3	1	24.5	1	26.5	1		4		4		4				"00-DEAD STANDING, 09- broken dead"		OK								
1	2	C	7	DF	1	29.5	1	30.8	1	31.8	1	32.2	1	32.9	1	35.7	1					OK									
1	2	C	8	DF	1	36.5	1	37.6	1	39.1	1	40.5	1	42.6	1	46.2	1					OK									
1	2	C	9	DF	1	31.2	1	31.6	1	32.1	1	32.2	1	32.2	4						09- dead	OK		GPS NOTES 2009: FOR PLOT 1-2C							
1	2	C	10	DF	1	41.1	1	43.5	1	45.3	1	47.7	1	51.2	1	61.2	1				09- attached to dead tree	OK		"N44.53584, W123.53346 IN DEGREES"							
1	2	C	11	DF	1	44	1	46.7	1	48.8	1	50.9	1	55	1	66	1					OK		WAYPOINT 35 GARMIN 60c 							
1	2	C	12	DF	1	27.8	1	28.1	1	29.3	4		4	 	4		4					OK		ACCURACY + OR - 25 FT							
1	2	C	13	DF	1	45.7	1	47.2	1	49	1	50.8	1	53.8	2	57.1	2				09- beatles	OK									
1	2	C	14	DF	1	33	1	33.6	1	34	1	34.3	1	34.3	2	37.4	2				09- beatles	OK									
1	2	C	15	DF	1	43.4	1	45.9	1	49.4	1	51.7	1	56.5	2	66.6	2				09-beatles	OK									
1	2	C	16	DF	1	38.4	1	39.2	1	41.2	1	41.8	1	42.7	2	47	2				09-beatles	OK									
1	2	C	17	DF	1	35.7	1	37.2	1	38.2	1	39.5	1	41	2	44.6	2				09-beatles	OK									
1	2	C	18	DF	1	34.2	1	35.5	1	37.5	1	38.1	1	39.5	2	43.7	2				09-beatles	OK									
1	2	C	19	DF	1	35.6	1	37.6	1	39.3	1	41.2	1	44.5	1	47.6	1					OK									
1	2	C	20	DF	1	42.5	1	45.1	1	47.3	1	50.8	1	54.6	1	63.3	1					OK									
1	2	C	21	DF	1	35.1	1	36	1	36.9	1	38.2	1	40.4	1	43.7	1					OK									
1	2	C	22	DF	1	22.2	1	22.4	4		4		4	22.5	4		4				09- broken dead	OK									
1	2	C	23	DF	1	34.7	1	35.8	1	36.6	1	37.2	1	38.4	2	41.3	2					OK									
1	2	C	24	DF	1	53.1	1	55.6	1	58.2	1	60.7	1	65.4	1	67.8	1				0= HARVESTED- STUMP	OK									
1	2	C	25	DF	1	20.9	1		4		4		4	 	4		4				"1= GREEN TREE, HEALTHY"	OK									
1	2	C	26	DF	1	37.2	1	38.7	1	40	1	41.4		44.6	2		4				2= LIVE TREE WITH SYMPTOMS	OK									
1	2	C	27	DF	1	32	1	34.2	1	35.9	1	37.7	1	40	1	46.8	1				3= PW	OK									
1	2	C	28	DF	3		3		3		3		3		3		3				4= DEAD NOT PW	OK									
1	2	C	29	DF	3		3		3		3		3		3		3				5= STANDING DEAD PROBABLE BEETLES	OK									
1	2	D	1	DF	1	53.8	1	57.1	1	59.9	1	64.7	1	70.4	1	80.7	1	Tag #4977				OK									
1	2	D	2	DF	1	56.1	1	58.2	1	61.3	1	64.9	1	73.4	1	79.7	1					OK									
1	2	D	3	DF	1	45.9	1	48	1	47.2	1	51.8	1	55.8	2	61.3	2				09- SUPPRESSED ???	OK		GPS NOTES 2009: FOR PLOT 1-2D 							
1	2	D	4	DF	1	53	1	56.9	1	60.8	1	64	1	70.7	1	81.2	1					OK		GARMIN 60c  WAYPOINT 33							
1	2	D	5	HL	1	39.1	1	40.4	1	42.8	1	46.3	1	50.7	1	55.7	1				5= STANDING DEAD PROBABLE BEETLES	OK		"N44.53625, W123.5482 IN DEGREES"							
1	2	D	6	DF	1	35.5	1	35.8	1	37.6	1	37	1	38.3	2	39.4	2	Thin crown.			09- VERY SUPPRESSED WITH BOWING TRUNK	OK									
1	2	D	7	DF	1	44.4	1	47.1	1	49.5	1	53.2	1	 	4		4	Snag at 15 feet. Split could not measure.			09-SPLIT DOWN OVER THE DBH TOP OFF	OK									
1	2	D	8	DF	1	69.5	1	71.2	1	72.8	1	75.6	1	80.7	1	85.7	1					OK									
1	2	D	9	DF	1	36.3	1	36.6	1	36.9	1	37.2	1	37.3	2	38.4	2				09- SUPPRESSED	OK									
1	2	D	10	DF	1	52.7	1	55.5	1	57.9	1	62.2	1	67.7	1	76.4	1					OK									
1	2	D	11	DF	1	52	1	55.3	1	57.1	1		4	 	4		4	Tall snag.			00-STANDING DEAD-BEETLES+?-PW ALL AROUND					OK					
1	2	D	12	DF	1	55.2	1	57	1	57.3	1		4	57.7	4		4	Tall hollow snag			00-STANDING DEAD-BEETLES+?-PW ALL AROUND- 09 DEAD STANDING					OK					
1	2	D	13	DF	1	32	1	32.5	1	33.7	1		4	56.1	4		4				00-STANDING DEAD-BEETLES+?-PW ALL AROUND 09-DEAD STANDING SPLIT OVER DBH AREA MAY EFFECT SIZE					OK					
1	2	D	14	DF	1	19.2	1		1		3		3	 	3		3					OK									
1	2	D	15	DF	1	50.8	1	54	1	57	1	59.1	1	65	1	69.9	1					OK									
1	2	D	16	DF	1	60.1	1	63.2	1	65.3	1	65.5	1	72.5	2	80	2	09 measurement wrong? Lots of resinous.			09- LOTS OF SAP AND BLACK FUNGUS ON THE BARK AND AREA WITHOUT BARK	OK									
1	2	D	17	DF	1	51.8	1	54.3	1		3		3	 	3		3					OK									
1	2	D	18	DF	3		3		3		3		3	 	3		3				0= HARVESTED- STUMP	OK									
1	2	D	19	DF	3		3		3		3		3	 	3		3				"1= GREEN TREE, HEALTHY"	OK									
1	2	D	20	DF	3		3		3		3		3	 	3		3				2= LIVE TREE WITH SYMPTOMS	OK									
1	2	D	21	DF	3		3		3		3		3	 	3		3				3= PW	OK									
1	2	D	22	DF	3		3		3		3		3	 	3		3				4= DEAD NOT PW	OK									
1	2	D	24	HL												18	1	"New tree, not previously included, on boarder"													
1	2	D	25	HL												22.8	1	"New tree, not previously included, on boarder"													
1	2	D	29	HL												22.3	1														
1	2	E	1	DF	1	56.7	1	59.2	1	60.6	1	64.7	1	69.4	1	76.4	1				"09- YELLLOW JACKET NEST AT THE BASE OF THE TREE, STEP CAREFULLY"	OK									
1	2	E	2	DF	1	32.9	1	34.1	1	35.3	1	36.4	1	38.2	2	41.1	2	Tag #4984				OK									
1	2	E	3	DF	1	29.6	1	30.2	1	30.9	1	31.2	1	32	2	32.5	2				0= HARVESTED- STUMP	OK									
1	2	E	4	DF	1	36	1	36.9	1	38	1	39	1	40.6	1	41.1	1				"1= GREEN TREE, HEALTHY"	OK									
1	2	E	5	DF	1	22.9	1	23	1	23.1	4		4	 	4		4				2= LIVE TREE WITH SYMPTOMS	OK	GPS NOTES 2009: GARMIN 60c 								
1	2	E	6	DF	1	36.9	1	38.5	1	41.5	1	42.4	1	45.4	1	47.7	3				3= PW	OK	FOR PLOT 1-2E WAYPOINT 32								
1	2	E	7	DF	1	26	1	27.2	1	28	1	28.4	1	28.6	2	29.1	2				4= DEAD NOT PW	OK	"N44.53580, W123.53504"								
1	2	E	8	DF	1	26.3	1	26.1	4		4		4	 	4		4				5= STANDING DEAD PROBABLE BEETLES	OK	ACCURACY + OR- 30 FT								
1	2	E	9	DF	1	49.5	1	52.7	1	55.8	1	59.1	1	65	1	72.9	1					OK									
1	2	E	10	DF	1	43.8	1	45.9	1	47.3	4		4	 	4		4				09- TOP OFF DEAD STANDING HAS FUNGUS 	OK									
1	2	E	11	DF	1	24.1	1	24.1	4													OK									
1	2	E	12	DF	1	32.8	1	33.1	1	32.2	4		4	 	4		4				09- DEAD STANDING TOP OFF	OK									
1	2	E	13	DF	1	48.2	1	52	1	53.3	4		4	 	4		4					OK									
1	2	E	14	DF	1	29.8	1	29.9	4		4		4	 	4		4					OK									
1	2	E	15	DF	1	30.8	1	32.7	1	34.4	1	35.9	1	38.7	1	43	1					OK									
1	2	E	16	DF	1	52.8	1	55.8	1	57.5	1	63.7	1	67.5	1	79	1					OK									
1	2	E	17	DF	1	37.3	1	38.5	1	38.4	1	38.4	1	39	2	39.5	2					OK									
1	2	E	18	DF	1	56.8	1	59.3	1	59.5	1	64.5	1	69.9	1	76.4	1					OK									
